timestamp,node,raw_line
06:23:41.494,MASTER,[TX] POLL:1
06:23:41.524,S2,[IGNORE] POLL:1
06:23:41.528,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 8.50 dB | RX#: 10
06:23:41.528,S1,[TX] S1:DATA:10
06:23:41.561,S2,[IGNORE] S1:DATA:10
06:23:41.567,MASTER,[RX] S1:DATA:10 | RSSI: -56 dBm | SNR: 9.50 dB
06:23:41.567,MASTER,[TX] POLL:2
06:23:41.597,S1,[IGNORE] POLL:2
06:23:41.598,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 11
06:23:41.602,S2,[TX] S2:DATA:11
06:23:41.638,S1,[IGNORE] S2:DATA:11
06:23:41.641,MASTER,[RX] S2:DATA:11 | RSSI: -39 dBm | SNR: 7.25 dB
06:23:41.641,MASTER,--- STATISTIK ---
06:23:41.645,MASTER,S1: OK=10 | FAIL=1 | Data: 10
06:23:41.645,MASTER,S2: OK=11 | FAIL=0 | Data: 11
06:23:41.649,MASTER,Durasi siklus: 148 ms
06:23:41.653,MASTER,========================================
06:23:42.149,MASTER,========================================
06:23:42.153,MASTER,=== CYCLE 12 ===
06:23:42.153,MASTER,[TX] POLL:1
06:23:42.180,S2,[IGNORE] POLL:1
06:23:42.183,S1,[RX] POLL:1 | RSSI: -61 dBm | SNR: 9.00 dB | RX#: 11
06:23:42.187,S1,[TX] S1:DATA:11
06:23:42.221,S2,[IGNORE] S1:DATA:11
06:23:42.223,MASTER,[RX] S1:DATA:11 | RSSI: -55 dBm | SNR: 9.25 dB
06:23:42.226,MASTER,[TX] POLL:2
06:23:42.261,S1,[IGNORE] POLL:2
06:23:42.261,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 12
06:23:42.262,S2,[TX] S2:DATA:12
06:23:42.293,S1,[IGNORE] S2:DATA:12
06:23:42.296,MASTER,[RX] S2:DATA:12 | RSSI: -51 dBm | SNR: 7.50 dB
06:23:42.300,MASTER,--- STATISTIK ---
06:23:42.300,MASTER,S1: OK=11 | FAIL=1 | Data: 11
06:23:42.304,MASTER,S2: OK=12 | FAIL=0 | Data: 12
06:23:42.308,MASTER,Durasi siklus: 149 ms
06:23:42.309,MASTER,========================================
06:23:42.809,MASTER,========================================
06:23:42.810,MASTER,=== CYCLE 13 ===
06:23:42.812,MASTER,[TX] POLL:1
06:23:42.839,S2,[IGNORE] POLL:1
06:23:42.843,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.25 dB | RX#: 12
06:23:42.843,S1,[TX] S1:DATA:12
06:23:42.880,S2,[IGNORE] S1:DATA:12
06:23:42.882,MASTER,[RX] S1:DATA:12 | RSSI: -56 dBm | SNR: 9.00 dB
06:23:42.882,MASTER,[TX] POLL:2
06:23:42.912,S1,[IGNORE] POLL:2
06:23:42.917,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 13
06:23:42.917,S2,[TX] S2:DATA:13
06:23:42.953,S1,[IGNORE] S2:DATA:13
06:23:42.956,MASTER,[RX] S2:DATA:13 | RSSI: -39 dBm | SNR: 7.00 dB
06:23:42.960,MASTER,--- STATISTIK ---
06:23:42.960,MASTER,S1: OK=12 | FAIL=1 | Data: 12
06:23:42.964,MASTER,S2: OK=13 | FAIL=0 | Data: 13
06:23:42.964,MASTER,Durasi siklus: 148 ms
06:23:42.968,MASTER,========================================
06:23:43.468,MASTER,========================================
06:23:43.468,MASTER,=== CYCLE 14 ===
06:23:43.468,MASTER,[TX] POLL:1
